epoch,train_loss,test_loss,accuracy,lr
0,1.944238,1.699887,0.609375,0.001000
1,1.479549,1.231294,0.593750,0.001000
2,1.038895,0.831897,0.859375,0.001000
3,0.628326,0.430211,0.932292,0.001000
4,0.273874,0.146773,1.000000,0.001000
5,0.106856,0.056086,1.000000,0.001000
6,0.047545,0.028115,1.000000,0.001000
7,0.027330,0.018369,1.000000,0.001000
8,0.019634,0.013622,1.000000,0.001000
9,0.015366,0.010758,1.000000,0.001000
10,0.013049,0.008859,1.000000,0.001000
11,0.010789,0.007436,1.000000,0.001000
12,0.009250,0.006398,1.000000,0.001000
13,0.008313,0.005569,1.000000,0.001000
14,0.007025,0.004887,1.000000,0.001000
15,0.006151,0.004360,1.000000,0.001000
16,0.005669,0.003916,1.000000,0.001000
17,0.004706,0.003552,1.000000,0.001000
18,0.004815,0.003230,1.000000,0.001000
19,0.004370,0.002947,1.000000,0.001000
20,0.004115,0.002701,1.000000,0.001000
21,0.003650,0.002487,1.000000,0.001000
22,0.003323,0.002301,1.000000,0.001000
23,0.003170,0.002139,1.000000,0.001000
24,0.002976,0.001992,1.000000,0.001000
25,0.002660,0.001863,1.000000,0.001000
26,0.002761,0.001743,1.000000,0.001000
27,0.002593,0.001633,1.000000,0.001000
28,0.002229,0.001535,1.000000,0.001000
29,0.002082,0.001452,1.000000,0.001000
