epoch,train_loss,test_loss,accuracy,lr
0,2.029533,1.921764,0.364583,0.001000
1,1.647272,1.266496,0.598958,0.001000
2,0.922785,0.580052,0.947917,0.001000
3,0.330054,0.157386,0.989583,0.001000
4,0.097758,0.043974,0.994792,0.001000
5,0.031473,0.018012,1.000000,0.001000
6,0.035474,0.059479,0.973958,0.001000
7,0.020429,0.032603,0.994792,0.001000
8,0.055736,0.067368,0.984375,0.001000
9,0.045772,0.035622,0.994792,0.001000
10,0.030538,0.011747,1.000000,0.001000
11,0.012169,0.008006,1.000000,0.001000
12,0.007696,0.005031,1.000000,0.001000
13,0.007165,0.004143,1.000000,0.001000
14,0.004922,0.003510,1.000000,0.001000
15,0.004358,0.003005,1.000000,0.001000
16,0.003626,0.002630,1.000000,0.001000
17,0.003119,0.002352,1.000000,0.001000
18,0.003162,0.002115,1.000000,0.001000
19,0.002757,0.001914,1.000000,0.001000
20,0.002625,0.001735,1.000000,0.001000
21,0.002771,0.001631,1.000000,0.001000
22,0.002324,0.001737,1.000000,0.001000
23,0.002169,0.001436,1.000000,0.001000
24,0.001972,0.001316,1.000000,0.001000
25,0.001792,0.001215,1.000000,0.001000
26,0.001727,0.001129,1.000000,0.001000
27,0.001594,0.001055,1.000000,0.001000
28,0.047228,0.024648,0.994792,0.001000
29,0.009602,0.002023,1.000000,0.001000
